 -49, 66, -3
 -134, -319, -247
 -34, -202, 105
 -96, -9, 4
 -4, -140, -442
 329, -206, -315
 -71, 1, 27
 0, -57, -209
 -48, -319, -511
 -107, -51, 131
 -82, -104, -157
 -91, -181, -392
 6, -353, -336
 -109, 27, -19
 48, 30, -203
 78, -398, -511
 -81, 21, -41
 -54, -47, -190
 -108, -511, -511
 -81, -45, 87
 -79, -34, -37
 -141, -300, -309
 -55, -78, 257
 -97, -39, -94
 -94, -300, -103
 22, -256, 308
 -76, -44, 83
 69, 4, 4
 44, -511, -511
 -81, -20, 82
 -13, -57, -126
 -511, -511, -511
 -72, -32, 78
 -106, -87, -90
 -220, -415, -511
 -109, -161, 338
 -109, -45, -52
 -52, -45, -268
 87, -388, -365
 -88, -62, 64
 -23, -26, -151
 -361, -511, -511
 -198, -147, 213
 -125, -95, -50
 -143, -357, -185
 30, -251, 130
 -73, -57, 50
 -39, -103, -221
 78, -396, -511
 -23, 46, 62
 0, -64, -263
 -293, -467, -511
 -88, -26, 127
 -8, 81, -107
 -364, -511, -511
 -79, -125, 101
 -67, -12, 88
 -17, -100, -145
